census_tract_fips,population_total,population_under_18,pct_white,pct_black,pct_asian,pct_other,pct_hispanic,pct_white_nh,pct_black_nh,pct_asian_nh,pct_other_nh,median_income,median_income_2010_adj,pct_poverty,pct_poverty_under_18,pct_assisted_income,pct_no_hs,pct_hs,pct_bach,pct_higher_than_bach,pct_hs_dropout,pct_female_hh,pct_single_parent,pct_unemployed,pct_vacant_housing,pct_owner_occupied,median_rent,median_rent_2010_adj,median_home_value,median_home_value_2010_adj,area_m2
010730039,2955,931,55,45,0,0,100,NA,NA,NA,NA,NA,NA,22,29,4,58,40,2,1,33,NA,NA,4,5,43,NA,NA,NA,NA,2158997
010730040,7486,1792,97,3,0,0,77,NA,NA,NA,NA,NA,NA,13,16,2,55,39,4,1,23,NA,NA,2,7,53,NA,NA,NA,NA,3196179
010730041,3523,1209,27,73,0,0,100,NA,NA,NA,NA,NA,NA,34,42,4,72,25,2,1,17,NA,NA,3,3,28,NA,NA,NA,NA,1285025
010730042,4509,1343,17,83,0,0,91,NA,NA,NA,NA,NA,NA,29,34,7,75,21,3,1,28,NA,NA,4,2,47,NA,NA,NA,NA,2321294
010730043,884,406,1,99,1,0,NA,NA,NA,NA,NA,NA,NA,71,81,14,94,6,0,0,31,NA,NA,9,14,4,NA,NA,NA,NA,951660
010730044,835,133,63,28,7,2,NA,NA,NA,NA,NA,NA,NA,16,15,3,37,25,8,29,17,NA,NA,1,2,1,NA,NA,NA,NA,1307898
010730045,2179,831,3,97,0,0,100,NA,NA,NA,NA,NA,NA,59,61,17,76,24,0,0,18,NA,NA,5,2,1,NA,NA,NA,NA,879594
010730046,1546,523,0,99,0,0,NA,NA,NA,NA,NA,NA,NA,42,47,14,92,8,0,0,64,NA,NA,4,5,2,NA,NA,NA,NA,1040361
010730047,9947,1715,98,2,0,0,66,NA,NA,NA,NA,NA,NA,6,7,1,23,54,15,9,13,NA,NA,1,9,32,NA,NA,NA,NA,4678252
01073004801,756,64,92,8,0,0,88,NA,NA,NA,NA,NA,NA,22,28,2,44,43,6,8,18,NA,NA,3,16,12,NA,NA,NA,NA,408736
01073004802,2560,407,99,1,0,0,0,NA,NA,NA,NA,NA,NA,7,10,1,17,50,18,15,21,NA,NA,1,10,37,NA,NA,NA,NA,3017044
01073004901,2571,238,89,11,0,0,100,NA,NA,NA,NA,NA,NA,14,24,2,39,47,7,8,4,NA,NA,4,16,11,NA,NA,NA,NA,793191
01073004902,2504,427,95,5,0,0,60,NA,NA,NA,NA,NA,NA,13,25,2,42,45,9,4,16,NA,NA,3,19,25,NA,NA,NA,NA,943573
010730050,4265,1115,83,17,0,0,36,NA,NA,NA,NA,NA,NA,11,15,2,40,47,8,5,11,NA,NA,1,10,43,NA,NA,NA,NA,2527173
010730051,9132,3447,0,100,0,0,27,NA,NA,NA,NA,NA,NA,31,35,7,52,35,8,5,15,NA,NA,3,1,50,NA,NA,NA,NA,2297002
010730052,5656,2022,67,33,0,0,100,NA,NA,NA,NA,NA,NA,10,11,2,49,48,2,1,8,NA,NA,3,5,77,NA,NA,NA,NA,4649290
010730053,8235,2955,88,12,0,0,75,NA,NA,NA,NA,NA,NA,8,6,1,33,52,11,4,6,NA,NA,1,2,86,NA,NA,NA,NA,8174426
010730054,375,151,92,8,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,68,32,0,0,28,NA,NA,0,11,74,NA,NA,NA,NA,5361055
010730055,4449,1714,35,65,0,0,22,NA,NA,NA,NA,NA,NA,37,42,7,82,17,1,0,36,NA,NA,5,6,69,NA,NA,NA,NA,7818299
010730056,6605,2331,100,0,0,0,76,NA,NA,NA,NA,NA,NA,4,5,1,23,55,15,8,11,NA,NA,2,2,80,NA,NA,NA,NA,4524802
010730057,11451,4357,41,59,0,0,87,NA,NA,NA,NA,NA,NA,20,20,5,63,33,3,1,13,NA,NA,3,4,76,NA,NA,NA,NA,6067525
010730058,23,4,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,71,0,0,NA,NA,NA,0,14,83,NA,NA,NA,NA,2256221
01073005901,7520,2802,100,0,0,0,100,NA,NA,NA,NA,NA,NA,3,2,0,24,64,9,4,5,NA,NA,2,3,86,NA,NA,NA,NA,8913735
01073005902,10009,3811,100,0,0,0,78,NA,NA,NA,NA,NA,NA,2,2,0,32,59,6,3,10,NA,NA,1,1,91,NA,NA,NA,NA,21311010
010730100,6988,2335,99,1,0,0,84,NA,NA,NA,NA,NA,NA,5,4,1,41,50,6,3,5,NA,NA,2,3,85,NA,NA,NA,NA,6411442
010730101,7147,2881,19,81,0,0,100,NA,NA,NA,NA,NA,NA,40,42,12,76,22,1,2,18,NA,NA,2,4,40,NA,NA,NA,NA,2759266
010730102,5837,1869,53,47,0,0,94,NA,NA,NA,NA,NA,NA,32,33,9,72,26,1,1,27,NA,NA,4,6,47,NA,NA,NA,NA,3551954
010730103,9242,3485,41,59,0,0,96,NA,NA,NA,NA,NA,NA,29,32,8,63,31,4,2,14,NA,NA,2,5,50,NA,NA,NA,NA,5086905
010730104,7770,2760,55,45,0,0,75,NA,NA,NA,NA,NA,NA,19,22,5,62,33,3,2,19,NA,NA,4,4,72,NA,NA,NA,NA,5520728
010730105,3162,1103,76,24,0,0,100,NA,NA,NA,NA,NA,NA,18,18,7,72,26,1,1,22,NA,NA,3,4,80,NA,NA,NA,NA,2741026
010730106,14369,4725,52,48,0,0,83,NA,NA,NA,NA,NA,NA,16,18,3,50,41,7,2,11,NA,NA,3,4,66,NA,NA,NA,NA,7584600
010730107,21257,5694,93,7,0,0,47,NA,NA,NA,NA,NA,NA,7,7,1,24,51,16,10,14,NA,NA,2,5,62,NA,NA,NA,NA,13862332
010730108,19661,6879,99,0,0,0,9,NA,NA,NA,NA,NA,NA,3,3,0,9,44,29,17,3,NA,NA,1,2,80,NA,NA,NA,NA,29760073
010730109,6710,2069,94,6,0,0,82,NA,NA,NA,NA,NA,NA,11,11,2,62,34,3,1,18,NA,NA,3,3,69,NA,NA,NA,NA,6259088
010730110,6697,2471,76,24,0,0,98,NA,NA,NA,NA,NA,NA,14,14,3,62,35,2,1,27,NA,NA,2,4,72,NA,NA,NA,NA,21808106
01073011101,7012,2553,86,14,0,0,82,NA,NA,NA,NA,NA,NA,13,14,3,59,34,5,2,22,NA,NA,2,4,80,NA,NA,NA,NA,78512919
01073011102,3574,1353,97,3,0,0,88,NA,NA,NA,NA,NA,NA,16,12,3,61,34,2,3,21,NA,NA,1,4,80,NA,NA,NA,NA,135504684
01073011201,6762,2626,99,0,0,0,64,NA,NA,NA,NA,NA,NA,4,3,0,43,49,5,2,22,NA,NA,2,2,90,NA,NA,NA,NA,22358157
01073011202,3017,1099,88,12,0,0,100,NA,NA,NA,NA,NA,NA,14,10,4,64,33,2,1,33,NA,NA,2,3,82,NA,NA,NA,NA,83024384
010730113,5693,2066,91,9,0,0,100,NA,NA,NA,NA,NA,NA,19,20,5,72,26,1,1,27,NA,NA,3,3,75,NA,NA,NA,NA,114112958
010730114,5230,1891,86,14,0,0,100,NA,NA,NA,NA,NA,NA,21,20,5,69,28,3,1,27,NA,NA,2,3,68,NA,NA,NA,NA,113431684
010730115,3720,1351,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,14,13,3,71,27,1,1,17,NA,NA,1,5,82,NA,NA,NA,NA,100302878
01073011601,1797,653,89,11,0,0,NA,NA,NA,NA,NA,NA,NA,19,19,6,70,28,2,0,15,NA,NA,0,2,70,NA,NA,NA,NA,30417774
01073011602,1761,659,100,0,0,0,59,NA,NA,NA,NA,NA,NA,11,10,3,61,37,2,0,44,NA,NA,1,3,66,NA,NA,NA,NA,107409075
01073011701,10339,3854,96,4,0,0,97,NA,NA,NA,NA,NA,NA,6,5,2,50,45,3,1,12,NA,NA,1,2,87,NA,NA,NA,NA,71762958
01073011702,2378,792,99,0,0,0,77,NA,NA,NA,NA,NA,NA,10,6,3,64,36,0,0,28,NA,NA,2,4,82,NA,NA,NA,NA,99331066
010730118,12206,4894,100,0,0,0,100,NA,NA,NA,NA,NA,NA,3,3,1,32,58,7,4,11,NA,NA,1,2,86,NA,NA,NA,NA,12418291
010730119,10087,3827,39,60,0,0,80,NA,NA,NA,NA,NA,NA,25,27,7,72,25,2,1,27,NA,NA,2,4,78,NA,NA,NA,NA,39828891
010730120,8115,2957,89,11,0,0,97,NA,NA,NA,NA,NA,NA,11,11,3,58,38,2,2,16,NA,NA,2,3,83,NA,NA,NA,NA,74608258
01073012101,9471,3608,76,24,0,0,85,NA,NA,NA,NA,NA,NA,13,13,3,62,35,2,1,28,NA,NA,2,3,80,NA,NA,NA,NA,38859439
